"7","454","86.7","224","5.23","2.77","0.0486","0.0017","0.1428","0.0026","0.0213","0.0003","135","20","136","2","136","2"
"8","587","38.7","217","15.15","2.77","0.0502","0.0018","0.1492","0.0038","0.0217","0.0004","195","28","141","3","139","3"
"9","415","293","179","1.42","2.75","0.0494","0.0023","0.1447","0.0053","0.0214","0.0003","155","56","137","5","136","2"
"10","686","248","199","2.77","2.76","0.0486","0.0017","0.1448","0.0035","0.0215","0.0003","136","31","137","3","137","2"
"&#8211;","","","","","","","","","","","","","","","","",""
"HM03","","","","","","Isotopic","ratios","","","","","Age (Ma)","","","","",""
"Spot","Th","U","Pb","Th/U","238U/232Th","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s"
"1","1459","352","52.9","4.14","4.14","0.0524","0.0028","0.1226","0.0057","0.0194","0.0003","303","78","117","5","124","2"
"2","628","188","24.5","3.34","3.34","0.0516","0.0027","0.1232","0.0059","0.0187","0.0004","268","71","118","5","119","3"
"3","865","321","32.0","2.69","2.12","0.0519","0.0025","0.1253","0.0058","0.0196","0.0003","281","78","120","5","125","2"
"4","569","160","26.1","3.55","2.12","0.0461","0.0027","0.1254","0.0071","0.0193","0.0003","","97","120","6","123","2"
"5","714","346","49.8","2.07","2.12","0.0518","0.0029","0.1236","0.0056","0.0196","0.0003","277","73","118","5","125","2"
"6","99.3","48.2","5.1","2.06","2.12","0.0525","0.0028","0.1248","0.0056","0.0189","0.0003","307","73","119","5","121","2"
"7","449","445","387","1.01","2.12","0.0524","0.0027","0.1235","0.0055","0.0191","0.0003","303","73","118","5","122","2"
"8","2608","751","73.3","3.47","2.13","0.0526","0.0028","0.1235","0.0055","0.0198","0.0003","312","74","118","5","126","2"
"9","534","218","17.7","2.45","2.12","0.0523","0.0026","0.1229","0.0062","0.0192","0.0003","299","87","118","6","123","2"
"10","1543","364","64.1","4.24","2.13","0.0522","0.0024","0.1232","0.0061","0.0191","0.0003","294","84","118","6","122","2"
"11","1263","441","113","2.86","2.12","0.0521","0.0024","0.1226","0.0061","0.0196","0.0003","290","86","117","6","125","2"
"12","640","241","46.2","2.66","2.12","0.0523","0.0025","0.1221","0.0056","0.0195","0.0003","299","76","117","5","124","2"
"&#8211;","","","","","","","","","","","","","","","","",""
