"","Ti","Li","Be","Sc","V","Cr","Ni","Rb","Sr","Y","Zr","Nb","Cs","Ba","La","Ce","Pr","Sm","Nd","Lu","Hf","Eu","Gd","Tb","Dy","Ho","Er","Yb","Ta","Pb","Th","U"
"447A-23-1 (16-19)","6464","9.06","0.269","41.2","316","255","116","0.843","69.3","28.1","56.2","1.23","0.019","6.52","1.84","6.07","1.08","2.40","6.21","0.427","1.66","0.863","3.46","0.646","4.64","1.01","2.89","2.90","0.097","0.198","0.103","0.030"
"447A 24-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"447A 25-1 (15-17)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"447A-25-1 (9-11)","4848","9.82","0.331","34.6","213","341","222","0.557","105","19.9","51.2","0.772","0.043","2.34","1.46","5.07","0.922","1.83","5.13","0.303","1.28","0.700","2.53","0.466","3.23","0.716","2.02","2.02","0.068","0.137","0.044","0.015"
"447A-30-2 (80-82)","5481","10.0","0.287","41.3","268","403","149","2.81","89.3","21.8","50.3","2.43","0.053","16.8","2.14","6.14","0.994","1.92","5.32","0.342","1.37","0.708","2.67","0.501","3.55","0.786","2.25","2.26","0.154","0.308","0.195","0.054"
"Site 1201 Basement Basalts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1201D-46R-3 (43-45)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1201D-46R-5 (6-8)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1201-48R-2 (92-94)","5858","11.9","0.237","41.3","268","431","130","4.13","74.8","23.0","44.4","0.628","0.077","4.31","1.30","4.70","0.883","2.08","5.25","0.369","1.35","0.695","2.91","0.557","3.97","0.865","2.41","2.45","0.054","0.302","0.045","0.163"
"1201D-48R-4 (66-68)","5422","12.6","0.230","40.5","252","376","125","4.16","75.4","24.5","46.8","0.631","0.071","5.09","1.36","4.78","0.902","2.12","5.33","0.386","1.39","0.793","3.08","0.570","4.09","0.903","2.57","2.53","0.053","0.436","0.051","0.175"
"1201D-49R-1 (11-13)","5175","11.9","0.225","39.2","249","372","132","3.19","73.4","23.1","45.2","0.594","0.083","5.50","1.27","4.47","0.851","1.98","5.04","0.358","1.33","0.763","2.91","0.541","3.84","0.843","2.41","2.40","0.055","0.283","0.048","0.094"
"1201D-49R-1 (47-49)","5924","14.7","0.258","42.3","271","437","138","6.98","75.3","23.2","44.4","0.648","0.141","4.73","1.34","4.81","0.874","2.06","5.16","0.370","1.37","0.689","2.87","0.551","3.92","0.853","2.40","2.42","0.055","0.519","0.047","0.054"
"1201D-49R-3 (37-39)","5671","14.5","0.269","42.9","267","399","109","8.10","80.8","26.0","48.5","0.650","0.188","6.31","1.49","4.71","0.908","2.09","5.29","0.389","1.40","0.784","3.01","0.563","4.06","0.899","2.58","2.56","0.053","0.256","0.047","0.157"
"1201D-49R-3 (37-39) rep","5644","14.4","0.272","42.5","269","398","110","8.14","80.6","26.0","48.5","0.652","0.190","6.41","1.48","4.73","0.903","2.09","5.36","0.385","1.39","0.783","3.00","0.563","4.08","0.900","2.58","2.56","0.054","0.256","0.047","0.157"
"1201D-51R-1 (2-4)","5327","12.7","0.235","40.2","243","375","123","4.09","86.0","23.9","46.2","0.612","0.090","7.08","1.30","4.60","0.862","2.03","5.10","0.369","1.35","0.769","2.95","0.548","3.89","0.861","2.44","2.42","0.054","0.284","0.047","0.257"
"1201D-52R-2 (56-58)","4901","23.5","0.223","37.7","244","352","99.6","3.28","70.8","21.9","43.0","0.562","0.086","8.62","1.18","4.20","0.792","1.88","4.71","0.342","1.28","0.718","2.76","0.514","3.59","0.804","2.27","2.26","0.052","0.327","0.047","0.084"
"1201D-53R-1 (119-121)","5374","18.6","0.247","41.3","280","368","87.8","5.00","73.3","24.1","46.5","0.614","0.084","5.97","1.30","4.59","0.869","2.05","5.17","0.378","1.37","0.785","3.00","0.562","4.02","0.887","2.55","2.53","0.053","0.265","0.048","0.082"
"1201D-65R-1 (47-49)","5273","27.8","0.250","39.6","246","355","135","2.81","74.6","23.3","46.0","0.614","0.111","5.50","1.26","4.55","0.864","2.02","5.09","0.360","1.34","0.765","2.93","0.543","3.89","0.848","2.43","2.41","0.054","0.287","0.047","0.018"
